id,emotion,en,kn,mr,tTa
p192,surprise,"You're back already? That was fast!","ನೀನು ಆಗಲೇ ಹಿಂತಿರುಗಿದ್ದೀಯಾ? ಅದು ವೇಗವಾಗಿತ್ತು!","तू परत आलास सुद्धा? किती लवकर!","நீங்கள் ஏற்கனவே திரும்பி விட்டீர்களா? அது வேகமாக இருந்தது!"
p193,surprise,"I'm floored by your generosity.","ನಿನ್ನ ಉದಾರತೆಯಿಂದ ನಾನು ದಿಗ್ಭ್ರಮೆಗೊಂಡಿದ್ದೇನೆ.","मी तुझ्या उदारतेने थक्क झालो आहे.","உங்கள் தாராள மனப்பான்மையால் நான் திகைத்துவிட்டேன்."
p194,surprise,"It's you! What a coincidence!","ನೀನಾ! ಎಂತಹ ಕಾಕತಾಳೀಯ!","तू आहेस! काय योगायोग आहे!","நீயா! என்ன ஒரு தற்செயல்!"
p195,surprise,"I did not expect this outcome at all.","ನಾನು ಈ ಫಲಿತಾಂಶವನ್ನು ಖಂಡಿತವಾಗಿಯೂ ನಿರೀಕ್ಷಿಸಿರಲಿಲ್ಲ.","मी या निकालाची अजिबात अपेक्षा केली नव्हती.","இந்த முடிவை நான் எதிர்பார்க்கவே இல்லை."
p196,surprise,"Wait, that's what you meant the whole time?","ಒಂದು ನಿಮಿಷ, ನೀನು ಇಷ್ಟು ಹೊತ್ತು ಹೇಳುತ್ತಿದ್ದದ್ದು ಇದನ್ನೇನಾ?","थांब, तुला हेच म्हणायचे होते का?","பொறு, இவ்வளவு நேரமும் நீ சொன்னது இதுதானா?"
p197,surprise,"This changes everything.","ಇದು ಎಲ್ಲವನ್ನೂ ಬದಲಾಯಿಸುತ್ತದೆ.","हे सर्व काही बदलते.","இது எல்லாவற்றையும் மாற்றுகிறது."
p198,surprise,"A promotion? For me? I'm shocked.","ಬಡ್ತಿ? ನನಗಾ? ನನಗೆ ಆಘಾತವಾಗಿದೆ.","पदोन्नती? माझ्यासाठी? मला धक्का बसला आहे.","பதவி உயர்வு? எனக்கா? நான் அதிர்ச்சியடைந்தேன்."
p199,surprise,"This is the last thing I expected to find.","ನಾನು ಹುಡುಕಲು ನಿರೀಕ್ಷಿಸಿದ ಕೊನೆಯ ವಸ್ತು ಇದು.","ही शेवटची गोष्ट आहे जी मला सापडेल अशी अपेक्षा होती.","நான் கண்டுபிடிக்க எதிர்பார்த்த கடைசி விஷயம் இது."
p200,surprise,"You remembered! I'm so touched.","ನೀನು ನೆನಪಿಟ್ಟುಕೊಂಡಿದ್ದೀಯ! ನಾನು ತುಂಬಾ भावुकನಾಗಿದ್ದೇನೆ.","तू लक्षात ठेवलेस! मला खूप आनंद झाला.","நீங்கள் நினைவில் வைத்திருக்கிறீர்கள்! நான் மிகவும் நெகிழ்ந்து போனேன்."
p201,sadness,"It feels like a part of me is missing.","ನನ್ನ ಒಂದು ಭಾಗವೇ ಕಾಣೆಯಾದಂತೆ ಭಾಸವಾಗುತ್ತಿದೆ.","माझा एक भाग हरवला आहे असे वाटते.","என் ஒரு பகுதி காணாமல் போனது போல் உணர்கிறேன்."
p202,sadness,"Today is just a really difficult day.","ಇಂದು ನಿಜವಾಗಿಯೂ ಕಷ್ಟದ ದಿನ.","आजचा दिवस खूप कठीण आहे.","இன்று மிகவும் கடினமான நாள்."
p203,sadness,"I feel so alone right now.","ನನಗೆ ಈಗ ತುಂಬಾ ಒಂಟಿತನ ಕಾಡುತ್ತಿದೆ.","मला आता खूप एकटे वाटत आहे.","நான் இப்போது மிகவும் தனியாக உணர்கிறேன்."
p204,sadness,"The news just broke my heart.","ಆ ಸುದ್ದಿ ನನ್ನ ಹೃದಯವನ್ನು ಮುರಿಯಿತು.","त्या बातमीने माझे हृदय तोडले.","அந்த செய்தி என் இதயத்தை உடைத்துவிட்டது."
p205,sadness,"I can't seem to shake this gloom.","ಈ ವಿಷಣ್ಣತೆಯನ್ನು ನಾನು 떨쳐ಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ.","मी ही उदासी झटकू शकत नाही.","இந்த இருளை என்னால் அசைக்க முடியவில்லை."
p206,sadness,"Saying goodbye was harder than I thought.","ವಿದಾಯ ಹೇಳುವುದು ನಾನು ಅಂದುಕೊಂಡಿದ್ದಕ್ಕಿಂತ ಕಷ್ಟಕರವಾಗಿತ್ತು.","निरोप घेणे मला वाटले त्यापेक्षा कठीण होते.","விடைபெறுவது நான் நினைத்ததை விட கடினமாக இருந்தது."
p207,sadness,"I'm just not feeling like myself.","ನನಗೆ ನನ್ನಂತೆಯೇ ಅನಿಸುತ್ತಿಲ್ಲ.","मला आज माझ्यासारखे वाटत नाहीये.","நான் நானாக இருப்பது போல் உணரவில்லை."
p208,sadness,"Some days, the weight is just too much.","ಕೆಲವು ದಿನ, ಭಾರವು ತುಂಬಾ ಹೆಚ್ಚಾಗಿರುತ್ತದೆ.","काही दिवस, हे ओझे खूप जास्त असते.","சில நாட்களில், பாரம் அதிகமாக உள்ளது."
p209,sadness,"I'm disappointed in how things turned out.","ವಿಷಯಗಳು ಹೇಗೆ ಹೊರಹೊಮ್ಮಿದವು ಎಂಬುದರ ಬಗ್ಗೆ ನನಗೆ ನಿರಾಸೆಯಾಗಿದೆ.","गोष्टी जशा घडल्या त्यामुळे मी निराश झालो आहे.","விஷயங்கள் எப்படி நடந்தன என்பதில் நான் ஏமாற்றமடைகிறேன்."
p210,sadness,"This place brings back so many painful memories.","ಈ ಸ್ಥಳವು ಅನೇಕ ನೋವಿನ ನೆನಪುಗಳನ್ನು ಮರಳಿ ತರುತ್ತದೆ.","हे ठिकाण अनेक वेदनादायक आठवणी परत आणते.","இந்த இடம் பல வலிமிகுந்த நினைவுகளை மீண்டும் கொண்டு வருகிறது."
p211,disgust,"Their two-faced nature is repulsive.","ಅವರ ಎರಡು ಮುಖದ ಸ್ವಭಾವವು ಅಸಹ್ಯಕರವಾಗಿದೆ.","त्यांचा दुटप्पी स्वभाव घृणास्पद आहे.","அவர்களின் இருமுகத் தன்மை அருவருப்பானது."
p212,disgust,"How can you eat that? It looks spoiled.","ನೀನು ಅದನ್ನು ಹೇಗೆ ತಿನ್ನಬಲ್ಲೆ? ಅದು ಹಾಳಾದಂತೆ ಕಾಣುತ್ತಿದೆ.","तू ते कसे खाऊ शकतोस? ते खराब झालेले दिसते.","அதை எப்படி சாப்பிட முடியும்? அது கெட்டுப் போனது போல் தெரிகிறது."
p213,disgust,"I'm disgusted by the way they treat people.","ಅವರು ಜನರನ್ನು ನಡೆಸಿಕೊಳ್ಳುವ ರೀತಿಯಿಂದ ನನಗೆ ಅಸಹ್ಯವಾಗಿದೆ.","ते ज्या प्रकारे लोकांना वागवतात त्यामुळे मला घृणा येते.","அவர்கள் மக்களை நடத்தும் விதத்தால் நான் அருவருப்படைகிறேன்."
p214,disgust,"The smell in here is making me sick.","ಇಲ್ಲಿನ ವಾಸನೆ ನನಗೆ ವಾಕರಿಕೆ ತರಿಸುತ್ತಿದೆ.","इथल्या वासाने मला मळमळत आहे.","இங்குள்ள வாசனை எனக்கு குமட்டலை ஏற்படுத்துகிறது."
p215,disgust,"He's nothing but a sycophant.","ಅವನು ಕೇವಲ ಒಬ್ಬ ಚಮಚಾ.","तो केवळ एक खुशामतखोर आहे.","அவன் முகஸ்துதி செய்பவனைத் தவிர வேறில்லை."
p216,disgust,"This whole situation is morally rotten.","ಈ ಇಡೀ ಪರಿಸ್ಥಿತಿಯು ನೈತಿಕವಾಗಿ ಕೊಳೆತಿದೆ.","ही संपूर्ण परिस्थिती नैतिकदृष्ट्या सडलेली आहे.","இந்த முழு சூழ்நிலையும் தார்மீக ரீதியாக அழுகிவிட்டது."
p217,disgust,"I can't stand to be in the same room as them.","ನಾನು ಅವರೊಂದಿಗೆ ಒಂದೇ ಕೋಣೆಯಲ್ಲಿ ಇರಲು ಸಹಿಸುವುದಿಲ್ಲ.","मी त्यांच्यासोबत एकाच खोलीत राहू शकत नाही.","அவர்களுடன் ஒரே அறையில் இருப்பதை என்னால் தாங்க முடியவில்லை."
p218,disgust,"That's just a vile thing to do to someone.","ಯಾರಿಗಾದರೂ ಮಾಡಲು ಅದು ಕೇವಲ ನೀಚ ಕೆಲಸ.","कोणासोबतही असे करणे हे एक नीच कृत्य आहे.","ஒருவருக்குச் செய்வது ஒரு கீழ்த்தரமான செயல்."
p219,disgust,"Wash your hands, that's revolting.","ನಿನ್ನ ಕೈಗಳನ್ನು ತೊಳೆಯ, ಅದು ಅಸಹ್ಯಕರ.","तुझे हात धु, ते किळसवाणे आहे.","கைகளைக் கழுவு, அது அருவருப்பானது."
p220,disgust,"The sight of it turns my stomach.","ಅದರ ದೃಶ್ಯವು ನನ್ನ ಹೊಟ್ಟೆಯನ್ನು ತಿರುಗಿಸುತ್ತದೆ.","ते दृश्य पाहून माझे पोटात ढवळते.","அதன் காட்சி என் வயிற்றைக் கலக்குகிறது."
p221,anger,"This is the ultimate betrayal!","ಇದು ಅಂತಿಮ ದ್ರೋಹ!","हा अंतिम विश्वासघात आहे!","இது இறுதித் துரோகம்!"
p222,anger,"I am so done with this nonsense.","ಈ ಅಸಂಬದ್ಧತೆಯಿಂದ ನನಗೆ ಸಾಕಾಗಿದೆ.","मी या मूर्खपणाला कंटाळलो आहे.","இந்த முட்டாள்தனத்தை நான் முடித்துவிட்டேன்."
p223,anger,"You had no right to do that.","ಅದನ್ನು ಮಾಡಲು ನಿನಗೆ ಯಾವುದೇ ಹಕ್ಕಿಲ್ಲ.","तुला ते करण्याचा काहीही अधिकार नव्हता.","அதைச் செய்ய உங்களுக்கு எந்த உரிமையும் இல்லை."
p224,anger,"The incompetence here is infuriating.","ಇಲ್ಲಿನ ಅಸಮರ್ಥತೆಯು ಕೋಪವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ.","येथील अक्षमता संतापजनक आहे.","இங்குள்ள திறமையின்மை ஆத்திரமூட்டுகிறது."
p225,anger,"You broke your promise to me.","ನೀನು ನನಗೆ ಕೊಟ್ಟ ಮಾತನ್ನು ಮುರಿದೆ.","तू मला दिलेले वचन मोडलेस.","நீ எனக்குக் கொடுத்த வாக்கை மீறிவிட்டாய்."
p226,anger,"I will not tolerate this disrespect.","ನಾನು ಈ ಅಗೌರವವನ್ನು ಸಹಿಸುವುದಿಲ್ಲ.","मी हा अनादर सहन करणार नाही.","இந்த அவமரியாதையை நான் பொறுத்துக்கொள்ள மாட்டேன்."
p227,anger,"This is an absolute mockery of justice.","ಇದು ನ್ಯಾಯದ ಸಂಪೂರ್ಣ ಅಣಕ.","ही न्यायाची निव्वळ थट्टा आहे.","இது நீதியின் முழுமையான கேலிக்கூத்து."
p228,anger,"My patience has completely run out.","ನನ್ನ ತಾಳ್ಮೆ ಸಂಪೂರ್ಣವಾಗಿ ಮುಗಿದಿದೆ.","माझा संयम पूर्णपणे संपला आहे.","என் பொறுமை முற்றிலும் தீர்ந்துவிட்டது."
p229,anger,"What were you thinking?","ನೀನು ಏನು ಯೋಚಿಸುತ್ತಿದ್ದೆ?","तू काय विचार करत होतास?","நீ என்ன நினைத்துக் கொண்டிருந்தாய்?"
p230,anger,"I'm livid about the decision.","ಆ ನಿರ್ಧಾರದ ಬಗ್ಗೆ ನನಗೆ ತೀವ್ರ ಕೋಪವಿದೆ.","मी त्या निर्णयाबद्दल खूप चिडलो आहे.","அந்த முடிவால் நான் கோபமாக இருக்கிறேன்."
p231,anticipation,"The air is electric with excitement.","ವಾತಾವರಣವು ಉತ್ಸಾಹದಿಂದ ವಿದ್ಯುನ್ಮಯವಾಗಿದೆ.","वातावरण उत्साहाने भारलेले आहे.","காற்றழுத்தம் உற்சாகத்தால் மின்மயமாக உள்ளது."
p232,anticipation,"I'm so excited, I can barely sit still.","ನಾನು ತುಂಬಾ ಉತ್ಸುಕನಾಗಿದ್ದೇನೆ, ನನಗೆ ಸುಮ್ಮನೆ ಕುಳಿತುಕೊಳ್ಳಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.","मी इतका उत्साही आहे की मी शांत बसू शकत नाही.","நான் மிகவும் உற்சாகமாக இருக்கிறேன், என்னால் அசையாமல் உட்கார முடியவில்லை."
p233,anticipation,"The premiere is just around the corner.","ಪ್ರದರ್ಶನವು ಹತ್ತಿರದಲ್ಲೇ ಇದೆ.","प्रिमियर अगदी जवळ आला आहे.","பிரீமியர் வெகு அருகில் உள்ளது."
p234,anticipation,"I'm on pins and needles waiting for the news.","ನಾನು ಸುದ್ದಿಗಾಗಿ ಕಾತರದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ.","मी बातमीसाठी आतुरतेने वाट पाहत आहे.","நான் செய்திக்காக ஊசிகளின் முனையில் காத்திருக்கிறேன்."
p235,anticipation,"I can almost taste the victory.","ನಾನು ಬಹುತೇಕ ವಿಜಯದ ರುಚಿಯನ್ನು ನೋಡಬಲ್ಲೆ.","मी विजयाची चव जवळजवळ घेऊ शकतो.","நான் வெற்றியை கிட்டத்தட்ட சுவைக்க முடியும்."
p236,anticipation,"Just a few more days until vacation!","ರಜೆಗೆ ಇನ್ನು ಕೆಲವೇ ದಿನಗಳು!","सुट्टीसाठी फक्त काही दिवस बाकी!","விடுமுறைக்கு இன்னும் சில நாட்களே!"
p237,anticipation,"What will you choose? I'm dying to know!","ನೀನು ಏನು ಆರಿಸುತ್ತೀಯ? ತಿಳಿಯಲು ನಾನು ಸಾಯುತ್ತಿದ್ದೇನೆ!","तू काय निवडशील? मला जाणून घ्यायची उत्सुकता आहे!","நீங்கள் என்ன தேர்ந்தெடுப்பீர்கள்? தெரிந்து கொள்ள நான் ஆவலாக இருக்கிறேன்!"
p238,anticipation,"I'm holding my breath for the final scene.","ನಾನು ಅಂತಿಮ ದೃಶ್ಯಕ್ಕಾಗಿ ಉಸಿರು ಬಿಗಿಹಿಡಿದು ಕಾಯುತ್ತಿದ್ದೇನೆ.","मी शेवटच्या दृश्यासाठी माझा श्वास रोखून धरला आहे.","இறுதிக் காட்சிக்காக நான் மூச்சைப் பிடித்துக் கொண்டிருக்கிறேன்."
p239,anticipation,"The launch is scheduled for tomorrow morning.","ಉಡಾವಣೆಯು ನಾಳೆ ಬೆಳಿಗ್ಗೆ ನಿಗದಿಯಾಗಿದೆ.","प्रक्षेपण उद्या सकाळी नियोजित आहे.","வெளியீடு நாளை காலை திட்டமிடப்பட்டுள்ளது."
p240,anticipation,"Soon, everything will be revealed.","ಶೀಘ್ರದಲ್ಲೇ, ಎಲ್ಲವೂ ಬಹಿರಂಗಗೊಳ್ಳಲಿದೆ.","लवकरच, सर्व काही उघड होईल.","விரைவில், எல்லாம் வெளிப்படும்."
p241,joy,"I'm walking on sunshine today!","ಇಂದು ನಾನು ಸೂರ್ಯನ ಕಿರಣಗಳ ಮೇಲೆ ನಡೆಯುತ್ತಿದ್ದೇನೆ!","आज मी खूप आनंदात आहे!","இன்று நான் சூரிய ஒளியில் நடக்கிறேன்!"
p242,joy,"Your kindness has completely made my day.","ನಿಮ್ಮ ದಯೆ ನನ್ನ ದಿನವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಮಾಡಿದೆ.","तुमच्या दयाळूपणामुळे माझा दिवस पूर्णपणे सफल झाला.","உங்கள் கருணை என் நாளை முழுமையாக்கியது."
p243,joy,"This is pure, simple happiness.","ಇದು ಶುದ್ಧ, ಸರಳ ಸಂತೋಷ.","हा शुद्ध, साधा आनंद आहे.","இது தூய, எளிய மகிழ்ச்சி."
p244,joy,"I'm so thrilled for your success!","ನಿಮ್ಮ ಯಶಸ್ಸಿಗೆ ನಾನು ತುಂಬಾ ರೋಮಾಂಚನಗೊಂಡಿದ್ದೇನೆ!","तुझ्या यशाबद्दल मला खूप आनंद झाला आहे!","உங்கள் வெற்றிக்காக நான் மிகவும் மகிழ்ச்சியடைகிறேன்!"
p245,joy,"What a fantastic outcome!","ಎಂತಹ ಅದ್ಭುತ ಫಲಿತಾಂಶ!","काय विलक्षण परिणाम आहे!","என்ன ஒரு அருமையான முடிவு!"
p246,joy,"I feel so light and carefree.","ನನಗೆ ತುಂಬಾ ಹಗುರ ಮತ್ತು ನಿರಾತಂಕವೆನಿಸುತ್ತಿದೆ.","मला खूप हलके आणि निश्चिंत वाटते.","நான் மிகவும் லேசாகவும் கவலையற்றதாகவும் உணர்கிறேன்."
p247,joy,"A huge smile is plastered on my face.","ನನ್ನ ಮುಖದ ಮೇಲೆ ಒಂದು ದೊಡ್ಡ ನಗು ಅಂಟಿಕೊಂಡಿದೆ.","माझ्या चेहऱ्यावर एक मोठे हसू पसरले आहे.","என் முகத்தில் ஒரு பெரிய புன்னகை பூசப்பட்டுள்ளது."
p248,joy,"This is everything I could have hoped for.","ನಾನು ಆಶಿಸಬಹುದಾದ ಎಲ್ಲವೂ ಇದಾಗಿದೆ.","मी जे काही आशा केली होती ते सर्व हे आहे.","நான் எதிர்பார்த்தது எல்லாம் இதுதான்."
p249,joy,"Let's celebrate this wonderful news!","ಈ ಅದ್ಭುತ ಸುದ್ದಿಯನ್ನು ಆಚರಿಸೋಣ!","या अद्भुत बातमीचा उत्सव साजरा करूया!","இந்த அற்புதமான செய்தியைக் கொண்டாடுவோம்!"
p250,joy,"My soul is completely content.","ನನ್ನ ಆತ್ಮ ಸಂಪೂರ್ಣವಾಗಿ ಸಂತೃಪ್ತವಾಗಿದೆ.","माझा आत्मा पूर्णपणे समाधानी आहे.","என் ஆன்மா முற்றிலும் திருப்தி அடைந்துள்ளது."
p251,trust,"In your hands, I know everything is safe.","ನಿನ್ನ ಕೈಯಲ್ಲಿ, ಎಲ್ಲವೂ ಸುರಕ್ಷಿತವಾಗಿದೆ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ.","तुझ्या हातात सर्व काही सुरक्षित आहे हे मला माहित आहे.","உங்கள் கைகளில், எல்லாம் பாதுகாப்பாக இருக்கிறது என்று எனக்குத் தெரியும்."
p252,trust,"You're one of the few people I truly believe in.","ನೀನು ನಾನು ನಿಜವಾಗಿಯೂ ನಂಬುವ ಕೆಲವೇ ಜನರಲ್ಲಿ ಒಬ್ಬ.","तू त्या काही लोकांपैकी एक आहेस ज्यांच्यावर माझा खरोखर विश्वास आहे.","நான் உண்மையாக நம்பும் சிலரில் நீங்களும் ஒருவர்."
p253,trust,"Your word is your bond, and I respect that.","ನಿನ್ನ ಮಾತು ನಿನ್ನ ಬಂಧ, ಮತ್ತು ನಾನು ಅದನ್ನು ಗೌರವಿಸುತ್ತೇನೆ.","तुझा शब्द म्हणजे वचन आहे, आणि मी त्याचा आदर करतो.","உங்கள் வார்த்தையே உங்கள் பந்தம், அதை நான் மதிக்கிறேன்."
p254,trust,"I can tell you anything without fear of judgment.","ನಾನು ತೀರ್ಪಿನ ಭಯವಿಲ್ಲದೆ ನಿನಗೆ ಏನು ಬೇಕಾದರೂ ಹೇಳಬಲ್ಲೆ.","मी निर्णयाच्या भीतीशिवाय तुला काहीही सांगू शकतो.","தீர்ப்புக்குப் பயப்படாமல் நான் உங்களிடம் எதையும் சொல்ல முடியும்."
p255,trust,"Your support gives me the confidence to keep going.","ನಿನ್ನ ಬೆಂಬಲವು ನನಗೆ ಮುಂದುವರಿಯಲು ಆತ್ಮವಿಶ್ವಾಸವನ್ನು ನೀಡುತ್ತದೆ.","तुझा पाठिंबा मला पुढे जाण्याचा आत्मविश्वास देतो.","உங்கள் ஆதரவு எனக்குத் தொடர்ந்து செல்ல நம்பிக்கையைத் தருகிறது."
p256,trust,"We're in this together, I know it.","ನಾವು ಇದರಲ್ಲಿ ಒಟ್ಟಿಗೆ ಇದ್ದೇವೆ, ನನಗೆ ಅದು ತಿಳಿದಿದೆ.","आपण यात एकत्र आहोत, मला माहित आहे.","நாம் இதில் ஒன்றாக இருக்கிறோம், எனக்குத் தெரியும்."
p257,trust,"You have a way of making me feel secure.","ನೀನು ನನ್ನನ್ನು ಸುರಕ್ಷಿತವಾಗಿರಿಸುವ ಒಂದು ವಿಧಾನವನ್ನು ಹೊಂದಿದ್ದೀಯ.","तू मला सुरक्षित वाटायला लावतोस.","என்னை பாதுகாப்பாக உணர வைக்கும் ஒரு வழி உங்களிடம் உள்ளது."
p258,trust,"I have unwavering faith in your abilities.","ನಿನ್ನ ಸಾಮರ್ಥ್ಯಗಳಲ್ಲಿ ನನಗೆ ಅಚಲವಾದ ನಂಬಿಕೆ ಇದೆ.","माझ्या तुझ्या क्षमतेवर अढळ विश्वास आहे.","உங்கள் திறமைகளில் எனக்கு அசைக்க முடியாத நம்பிக்கை உள்ளது."
p259,trust,"You've never steered me wrong.","ನೀನು ನನ್ನನ್ನು ಎಂದಿಗೂ ತಪ್ಪುದಾರಿಗೆ ಎಳೆದಿಲ್ಲ.","तू मला कधीही चुकीचा मार्ग दाखवला नाहीस.","நீங்கள் என்னை ஒருபோதும் தவறாக வழிநடத்தியதில்லை."
p260,trust,"Your consistency is so reassuring.","ನಿನ್ನ ಸ್ಥಿರತೆಯು ತುಂಬಾ ಭರವಸೆ ನೀಡುತ್ತದೆ.","तुमची सातत्य खूप आश्वासक आहे.","உங்கள் நிலைத்தன்மை மிகவும் உறுதியளிக்கிறது."
p261,fear,"I'm completely paralyzed by anxiety.","ನಾನು ಆತಂಕದಿಂದ ಸಂಪೂರ್ಣವಾಗಿ ನಿಶ್ಚೇಷ್ಟಿತನಾಗಿದ್ದೇನೆ.","मी चिंतेने पूर्णपणे खचून गेलो आहे.","நான் கவலையால் முற்றிலும் முடங்கிப் போயிருக்கிறேன்."
p262,fear,"My mind is racing with worst-case scenarios.","ನನ್ನ ಮನಸ್ಸು ಕೆಟ್ಟ ಸನ್ನಿವೇಶಗಳಿಂದ ಓಡುತ್ತಿದೆ.","माझे मन वाईटात वाईट परिस्थितीच्या विचारांनी भरले आहे.","என் மனம் மோசமான சூழ்நிலைகளுடன் ஓடிக்கொண்டிருக்கிறது."
p263,fear,"I have a gut feeling that something bad is coming.","ಏನೋ ಕೆಟ್ಟದ್ದು ಬರಲಿದೆ ಎಂಬ ಒಳಪ್ರಜ್ಞೆ ನನಗಿದೆ.","मला आतून असे वाटत आहे की काहीतरी वाईट घडणार आहे.","ஏதோ கெட்டது வரப்போகிறது என்று எனக்கு ஒரு உள்ளுணர்வு இருக்கிறது."
p264,fear,"I'm holding my breath in terror.","ನಾನು ಭಯದಿಂದ ಉಸಿರು ಬಿಗಿಹಿಡಿದಿದ್ದೇನೆ.","मी दहशतीने माझा श्वास रोखून धरला आहे.","நான் பயத்தில் மூச்சைப் பிடித்துக் கொண்டிருக்கிறேன்."
p265,fear,"That eerie silence is creeping me out.","ಆ ಭಯಾನಕ ಮೌನವು ನನ್ನನ್ನು ಹೆದರಿಸುತ್ತಿದೆ.","ती भयानक शांतता मला घाबरवत आहे.","அந்த வினோதமான மௌனம் என்னைப் பயமுறுத்துகிறது."
p266,fear,"I'm too petrified to open my eyes.","ನನ್ನ ಕಣ್ಣುಗಳನ್ನು ತೆರೆಯಲು ನನಗೆ ತುಂಬಾ ಭಯವಾಗುತ್ತಿದೆ.","मी डोळे उघडायला खूप घाबरत आहे.","கண்களைத் திறக்க நான் மிகவும் பயப்படுகிறேன்."
p267,fear,"The suspense is absolutely unbearable.","ಈ ಕುತೂಹಲ ಸಂಪೂರ್ಣವಾಗಿ ಅಸಹನೀಯವಾಗಿದೆ.","ही उत्सुकता पूर्णपणे असह्य आहे.","இந்த சஸ்பென்ஸ் முற்றிலும் தாங்க முடியாதது."
p268,fear,"I feel like I'm in way over my head.","ನಾನು ನನ್ನ ಸಾಮರ್ಥ್ಯವನ್ನು ಮೀರಿದ ಪರಿಸ್ಥಿತಿಯಲ್ಲಿದ್ದೇನೆ ಎಂದು ನನಗೆ ಅನಿಸುತ್ತದೆ.","मला असे वाटते की मी माझ्या क्षमतेच्या पलीकडच्या परिस्थितीत आहे.","நான் என் தலைக்கு மேல் வழி இருப்பதாக உணர்கிறேன்."
p269,fear,"A wave of pure panic just hit me.","ಶುದ್ಧ ಭೀತಿಯ ಒಂದು ಅಲೆ ನನ್ನ ಮೇಲೆ ಅಪ್ಪಳಿಸಿತು.","शुद्ध दहशतीची एक लाट माझ्यावर आदळली.","தூய பீதியின் அலை ஒன்று என்னை தாக்கியது."
p270,fear,"I'm shaking like a leaf in the wind.","ನಾನು ಗಾಳಿಯಲ್ಲಿ ಎಲೆಯಂತೆ ನಡುಗುತ್ತಿದ್ದೇನೆ.","मी वाऱ्यातील पानासारखा थरथरत आहे.","நான் காற்றில் இலை போல் நடுங்குகிறேன்."
p271,surprise,"I'm absolutely dumbfounded.","ನಾನು ಸಂಪೂರ್ಣವಾಗಿ ಮೂಕವಿಸ್ಮಿತನಾಗಿದ್ದೇನೆ.","मी पूर्णपणे स्तब्ध झालो आहे.","நான் முற்றிலும் திகைத்துவிட்டேன்."
p272,surprise,"You did what? I'm in utter disbelief.","ನೀನು ಏನು ಮಾಡಿದೆ? ನನಗೆ ಸಂಪೂರ್ಣವಾಗಿ ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ.","तू काय केलेस? माझा अजिबात विश्वास बसत नाही.","நீங்கள் என்ன செய்தீர்கள்? நான் முற்றிலும் நம்பமுடியாத நிலையில் இருக்கிறேன்."
p273,surprise,"This is a plot twist I never saw coming.","ಇದು ನಾನು ಎಂದಿಗೂ ನಿರೀಕ್ಷಿಸದ ಕಥೆಯ ತಿರುವು.","हा एक असा प्लॉट ट्विस्ट आहे ज्याची मी कधीच अपेक्षा केली नव्हती.","இது நான் பார்த்திராத ஒரு கதை திருப்பம்."
p274,surprise,"Really? Are you being serious right now?","ನಿಜವಾಗಿಯೂ? ನೀನು ಈಗ ಗಂಭೀರವಾಗಿ ಹೇಳುತ್ತಿದ್ದೀಯಾ?","खरंच? तू आता गंभीर आहेस का?","உண்மையாகவா? நீங்கள் இப்போது சீரியஸாக இருக்கிறீர்களா?"
p275,surprise,"You've rendered me utterly speechless.","ನೀನು ನನ್ನನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಮೂಕನನ್ನಾಗಿಸಿದ್ದೀಯ.","तू मला पूर्णपणे निःशब्द केले आहेस.","நீங்கள் என்னை முற்றிலும் வாயடைக்க வைத்துவிட்டீர்கள்."
p276,surprise,"I had to do a double-take to believe it.","ಅದನ್ನು ನಂಬಲು ನಾನು ಎರಡು ಬಾರಿ ನೋಡಬೇಕಾಯಿತು.","ते खरे मानण्यासाठी मला दोनदा पाहावे लागले.","அதை நம்புவதற்கு நான் இரண்டு முறை பார்க்க வேண்டியிருந்தது."
p277,surprise,"This is just mind-boggling!","ಇದು ಕೇವಲ ತಲೆತಿರುಗುವಂತಿದೆ!","हे फक्त मन चक्रावून टाकणारे आहे!","இது மனதைக் குழப்புகிறது!"
p278,surprise,"Of all the possibilities, I never considered this one.","ಎಲ್ಲಾ ಸಾಧ್ಯತೆಗಳಲ್ಲಿ, ನಾನು ಇದನ್ನು ಎಂದಿಗೂ ಪರಿಗಣಿಸಿರಲಿಲ್ಲ.","सर्व शक्यतांपैकी, मी याचा कधीच विचार केला नव्हता.","எல்லா சாத்தியக்கூறுகளிலும், நான் இதை ஒருபோதும் கருத்தில் கொள்ளவில்லை."
p279,surprise,"My expectations were completely upended.","ನನ್ನ ನಿರೀಕ್ಷೆಗಳು ಸಂಪೂರ್ಣವಾಗಿ ತಲೆಕೆಳಗಾದವು.","माझ्या अपेक्षा पूर्णपणे उधळल्या गेल्या.","என் எதிர்பார்ப்புகள் முற்றிலும் தலைகீழாக மாறியது."
